id,sentence,label
1,졸업을 축하해! 항상 자랑스럽고 행복하길 바랄게.,9
2,"오늘은 너의 노력과 열정이 결실을 맺은 날, 진심으로 축하해!",9
3,졸업 축하해! 새로운 시작을 응원하며 행운을 빌어.,9
4,"이제 시작일 뿐, 더 큰 꿈과 성취를 위해 노력하자. 졸업을 축하해.",9
5,네 미래를 밝은 빛으로 물들일 졸업의 순간을 축하해!,9
6,"졸업을 축하드려, 더 큰 도전과 성공이 너를 기다리고 있을 거야.",9
7,축하해! 너의 끈기와 노력이 결실을 맺은 졸업의 순간.,9
8,졸업 축하해! 새로운 시작을 응원하며 함께 축복하자.,9
9,"너의 미래가 빛나는 순간, 졸업을 진심으로 축하한다.",9
10,"이제 새로운 세상으로 나아가는 시작을 축하해, 너를 응원할게.",9
11,축하해! 너를 믿고 응원하는 사람들이 많이 있어.,9
12,"졸업을 축하하며, 더 멋진 성과와 행운이 함께하기를 바라.",9
13,너의 노력과 열정이 결실을 맺은 졸업을 축하한다.,9
14,"항상 너의 행복과 성공을 응원해, 축하한다.",9
15,"오늘은 너의 열정과 노력이 보상받는 날, 졸업을 축하해!",9
16,"너의 미래가 더 밝아질 것을 믿고, 졸업을 진심으로 축하한다.",9
17,축하해! 이제 너는 더 큰 세계로 나아가는 여정을 시작해.,9
18,"너의 끈기와 열정을 칭찬하며, 졸업을 축하한다.",9
19,"함께한 시간을 기억하며, 네 행복한 미래를 응원할게. 졸업 축하해!",9
20,졸업을 축하해! 미래가 기대되는 순간을 함께 기뻐하자.,9
21,"새로운 도전에 응원하며, 졸업을 진심으로 축하한다.",9
22,"항상 너의 행복과 성공을 기원하며, 졸업을 축하한다.",9
23,축하해! 너의 꿈과 열정이 성취로 이끈 순간.,9
24,"졸업을 축하하며, 너와 함께한 소중한 순간들을 기억한다.",9
25,"온전히 네 미래를 응원하며, 졸업을 축하한다.",9
26,"새로운 시작을 축하하며, 네 미래의 성공을 기원한다.",9
27,"너의 미래가 밝고 행복하기를 진심으로 바랄게, 졸업을 축하해!",9
28,"함께한 기억과 남은 도전을 응원하는 마음으로, 졸업을 축하한다.",9
29,"축하한다! 너의 성취를 축복하며, 미래를 응원한다.",9
30,"졸업을 축하하며, 더 큰 꿈과 성공이 너를 기다릴 거야.",9
31,졸업을 축하해! 새로운 여정을 응원하며 함께 축복하자.,9
32,"너의 열정과 노력이 결실을 맺은 순간, 축하한다.",9
33,"졸업을 축하해, 너의 미래가 빛나는 시작을 응원할게.",9
34,"새로운 시작을 축하하며, 미래의 성공을 기원한다. 축하해!",9
35,"졸업을 진심으로 축하해, 미래가 아름다운 순간을 만들어줄 거야.",9
36,"함께한 추억을 기억하며, 너의 졸업을 진심으로 축하한다.",9
37,"네 노력과 열정을 칭찬하며, 졸업을 축하한다.",9
38,졸업을 축하해! 너의 미래가 환희로 가득한 순간을 기뻐해.,9
39,"항상 너의 행복과 성공을 응원해, 축하한다.",9
40,"너의 미래가 빛나기를 진심으로 바라며, 졸업을 축하한다.",9
41,축하해! 새로운 도전에 모든 행운과 기대를 담아.,9
42,"이제 새로운 시작을 하며, 네 앞길이 환희로 가득하길 바라.",9
43,"졸업을 축하하며, 너에게 행운과 축복이 함께하기를. 축하한다.",9
44,"네 노력과 열정이 결실을 맺은 순간을 축하해, 최고의 축하를 보내며.",9
45,"새로운 시작을 응원하며, 졸업을 축하한다. 항상 응원할게.",9
46,졸업을 축하해! 너의 열정과 노력이 보상받은 순간.,9
47,"네 빛나는 미래에 축복을, 졸업을 진심으로 축하한다.",9
48,"함께한 추억과 미래를 응원하며, 졸업을 진심으로 축하한다.",9
49,축하해! 너의 끈기와 열정이 성취로 이끈 졸업의 순간.,9
50,"졸업을 축하하며, 미래에 기대되는 모든 순간을 함께 기뻐하자!",9
