id,sentence,label
1,바른길로 인도해 주셔서 감사합니다. 항상 옳은 선택을 할 수 있도록 도와주셔서 감사합니다.,10
2,저를 지켜주시고 바른길로 인도해 주셔서 감사합니다. 항상 신명나는 길을 걷도록 이끌어 주셔서 감사합니다.,10
3,바르게 인도해 주시고 모범을 보여 주셔서 감사합니다. 당당하게 앞으로 나아갈 수 있도록 도와주셔서 감사합니다.,10
4,바른길로 인도해 주신 모습에 감사드립니다. 모든 것을 이끌어 주시고 사랑으로 가득 채워 주셔서 감사합니다.,10
5,항상 진심으로 바른길을 알려 주시고 인도해 주셔서 감사합니다. 큰 마음으로 포용하여 펼쳐 주신 스승님께 감사를 드립니다.,10
6,바른길로 인도해 주시고 전달해 주신 지혜로 힘을 주셔서 감사합니다. 늘 열려 있는 마음으로 받아들이도록 이끌어 주셔서 감사합니다.,10
7,항상 옳은 길을 선택하도록 이끌어 주시고 지혜롭게 가르쳐 주셔서 감사합니다. 올바르게 생각하고 옳은 행동을 할 수 있도록 도와주셔서 감사합니다.,10
8,바른길로 인도해 주시고 모범을 보여 주셔서 감사합니다. 신뢰와 사랑을 가득 심어 주신 스승님께 감사드립니다.,10
9,지친 나를 바른길로 인도해 주심에 감사를 드립니다. 언제나 성실하게 가르쳐 주시고 사랑으로 가득 메워 주셔서 감사합니다.,10
10,항상 옳은 길을 알려 주시고 믿음으로 이끌어 주셔서 감사합니다. 우리의 존재에 의미를 부여하고 뜻을 이루도록 도와주시는 모습에 감사를 드립니다.,10
11,바른길로 인도해 주시고 매 순간을 귀사하게 여기도록 이끌어 주심에 감사합니다. 언제나 따뜻한 사랑으로 내 곁을 지켜 주시는 스승님께 감사를 드립니다.,10
12,모범을 보여 주시고 바른 길로 인도해 주셔서 감사합니다. 항상 신념을 지키며 앞서 나아갈 수 있도록 지도하여 주시는 스승님에게 감사를 표합니다.,10
13,바른길로 인도해 주시는 스승님의 따뜻한 마음에 감사를 드립니다. 열린 마음으로 받아들이고 배우도록 이끌어 주시는 것에 감사를 표합니다.,10
14,저를 멋지게 인도해 주시고 옳은 길로 이끌어 주셔서 감사합니다. 마음이 시린 날에도 끝없는 인내심으로 옆에서 지켜 주시는 스승님께 감사를 표합니다.,10
15,항상 올바른 길을 가르쳐 주시고 따뜻한 사랑으로 덮어 주셔서 감사합니다. 모든 것을 받아들이며 성장할 수 있도록 도와주시는 스승님께 감사를 드립니다.,10
16,바른길로 인도해 주심에 감사를 보냅니다. 믿음으로 이루어 간 올바른 결정에 대한 성취감을 함께할 수 있도록 도와 주시는 스승님께 감사를 드립니다.,10
17,바른길로 안내하시고 저를 지켜 주셔서 감사합니다. 마음이 구멍 나가는 것 같았던 날에도 스승님의 지혜롭고 따스한 가르침으로 나를 돌아 세우며 인도해 주셔서 감사합니다.,10
18,바른길로 인도해 주시고 예의 바른 행동을 알려 주시는 스승님께 감사를 표합니다. 훌륭한 모습으로 믿음을 주고 인도해 주시는 것에 감사를 드립니다.,10
19,항상 정확한 길을 보여 주시고 바른 길로 인도해 주셔서 감사합니다. 저의 부족한 모습을 인정해 주시면서도 잘못된 길로 이끌어 주지 않는 현명한 스승님께 감사를 표합니다.,10
20,바른길로 인도해 주시는 스승님의 따뜻한 가르침에 감사를 드립니다. 뜻을 이뤄가는 데 이끌어 주신 노고에 감사를 표합니다.,10
21,바른길로 인도해 주신 스승님의 따뜻한 사랑에 감사를 드립니다. 항상 강림과 지혜를 전달해 주시는 모습에 감사를 표합니다.,10
22,항상 사랑으로 목숨을 인도해 주시고 바른길로 이끌어 주셔서 감사합니다. 앞서 나아갈 수 있도록 인도하는 법을 가르치심에 감사를 드립니다.,10
23,바른길로 인도해 주시고 모범을 보여 주시는 스승님에게 감사를 표합니다. 옳고 그름을 구분할 수 있도록 도와주시는 스승님께 감사를 드립니다.,10
24,바른길로 안내하신 스승님의 가르침에 감사를 드립니다. 미개한 마음을 옳게 이끌어 주시기 위해 열려 있는 대하여 배우도록 도와주시는 스승님께 감사를 드립니다.,10
25,항상 바르게 지도해 주시고 사랑으로 이끌어 주시는 스승님께 감사를 표합니다. 젊은 날에 교훈 따뜻한 가르침을 전해 주시고 인도해 주심에 감사를 드립니다.,10
26,저를 정신없이 인도해 주시고 바른길로 안내해 주셔서 감사합니다. 잘못된 길로 빠질 뻔했던 날에도 스승님의 현명하고 따뜻한 가르침으로 지켜 주셔서 감사합니다.,10
27,바른길로 인도해 주시고 결심됩니다. 따뜻한 사랑과 믿음으로 나를 인도하시는 스승님께 감사를 표합니다.,10
